date,close,volume,open,high,low
10/31/2017,1105.28,3474886,1109,1110.54,1101.1201
10/30/2017,1110.85,6608244,1095.01,1122.79,1093.56
10/27/2017,1100.95,16547950,1058.14,1105.58,1050.55
10/26/2017,972.43,5392856,980.33,982.9,968.55
10/25/2017,972.91,3029395,978,984.44,966.24
10/24/2017,975.9,2713262,969,979.85,965
10/23/2017,966.3,3482123,986.73,986.775,962.5
10/20/2017,982.91,2343556,993.53,994.62,982
10/19/2017,986.61,3084459,990,991.05,980.24
10/18/2017,997,2496848,1009.27,1022.31,996.55
10/17/2017,1009.13,2318762,1005.59,1011.4699,1004.38
10/16/2017,1006.34,2004816,1008.44,1009.5717,1001.04
10/13/2017,1002.94,2429175,1007,1007.77,1001.03
10/12/2017,1000.93,4083076,996.81,1008.44,992.4
10/11/2017,995,2335062,991.27,995.5,986.695
10/10/2017,987.2,3082929,996.67,997.95,980.099
10/9/2017,990.99,2936073,993.24,998.5,987.5
10/6/2017,989.58,3747408,975.64,995.75,975.64
10/5/2017,980.85,3220080,970,981.51,969.64
10/4/2017,965.45,2518509,954.21,967.79,954.05
10/3/2017,957.1,2664290,958,963.69,950.37
10/2/2017,959.19,2425585,964,967.305,952.1201
9/29/2017,961.35,2509194,960.11,964.83,958.375
9/28/2017,956.4,2521285,951.86,959.7,950.101
9/27/2017,950.87,3145310,948,955.3,943.3
9/26/2017,938.6,3504345,945.49,948.63,931.75
9/25/2017,939.79,5115097,949.31,949.42,932.89
9/22/2017,955.1,2629433,961.01,965.61,954.42
9/21/2017,964.65,2276374,971.31,971.7,962.02
9/20/2017,973.21,2752256,971.79,974.81,962.1626
9/19/2017,969.86,2629721,977.25,978.24,967.46
9/18/2017,974.19,3400701,990.4,992.7922,968.17
9/15/2017,986.79,3749512,993.01,996.25,984.03
9/14/2017,992.21,3899558,996.8,998.56,987.74
9/13/2017,999.6,3360247,983.97,1000,979.42
9/12/2017,982.58,2475557,983.27,984.6718,975.517
9/11/2017,977.96,2171998,974.46,981.94,974.22
9/8/2017,965.9,2589038,979.1,979.88,963.47
9/7/2017,979.47,2562517,974,980.59,972.55
9/6/2017,967.8,2125371,968.32,971.84,960.6
9/5/2017,965.27,2996501,975.4,976.7699,960.37
9/1/2017,978.25,2533779,984.2,984.5,976.875
8/31/2017,980.6,3314687,974.7,981,972.76
8/30/2017,967.59,2897969,958.44,969.41,956.9062
8/29/2017,954.06,2871568,940,956,936.33
8/28/2017,946.02,2576456,946.54,953,942.25
8/25/2017,945.26,3316602,956,957.621,944.1
8/24/2017,952.45,5186993,957.42,959,941.14
8/23/2017,958,2642936,959.38,962,954.2
8/22/2017,966.9,2745796,955.52,967.93,955.495
8/21/2017,953.29,3156891,957.57,961.2,945.46
8/18/2017,958.47,3275276,961.4,965.43,954.65
8/17/2017,960.57,3456073,977.84,977.84,960.32
8/16/2017,978.18,3125408,981.65,986.4605,973.22
8/15/2017,982.74,2544452,988.9,991.74,982
8/14/2017,983.3,3168461,978.41,985.5,976.19
8/11/2017,967.99,3464615,960,970.39,951.38
8/10/2017,956.92,5600182,976.295,979.86,954.68
8/9/2017,982.01,3568120,982.6,988,975.27
8/8/2017,989.84,2886062,994.35,996.28,985.79
8/7/2017,992.27,2670187,990.65,995,987.14
8/4/2017,987.58,2726739,989.68,991.672,982
8/3/2017,986.92,3252699,999.47,999.5,984.59
8/2/2017,995.89,4061270,1001.77,1003.21,981.73
8/1/2017,996.19,4527979,996.11,1006.4,991.58
7/31/2017,987.78,7326177,1019.05,1019.05,987.02
7/28/2017,1020.04,7674669,1012.14,1032.85,1001
7/27/2017,1046,10830380,1069.55,1083.31,1040.18
7/26/2017,1052.8,2881423,1043.2,1053.2,1043.2
7/25/2017,1039.87,2444862,1038.05,1043.3346,1032.48
7/24/2017,1038.95,3277624,1028.34,1043.01,1027.4279
7/21/2017,1025.67,2726844,1021.28,1026.1,1011
7/20/2017,1028.7,3074300,1031.59,1034.97,1022.515
7/19/2017,1026.87,2955263,1025,1031.59,1022.5
7/18/2017,1024.45,4002293,1006,1026.03,1004
7/17/2017,1010.04,3685206,1004.69,1014.75,1003.81
7/14/2017,1001.81,2100941,1002.4,1004.45,996.89
7/13/2017,1000.63,2877854,1004.62,1006.88,995.9
7/12/2017,1006.51,3605227,1000.65,1008.55,998.1
7/11/2017,994.13,2978422,993,995.99,983.72
7/10/2017,996.47,3515968,985,999.4392,983.5
7/7/2017,978.76,2589778,969.55,980.11,969.14
7/6/2017,965.14,3257432,964.66,974.4,959.02
7/5/2017,971.4,3648765,961.53,975,955.25
7/3/2017,953.66,2909108,972.79,974.49,951.0001
6/30/2017,968,3383436,980.12,983.47,967.61
6/29/2017,975.93,4295828,979,987.56,965.25
6/28/2017,990.33,3721937,978.55,990.68,969.21
6/27/2017,976.78,3759865,990.69,998.8,976
6/26/2017,993.98,3382126,1008.5,1009.8,992
6/23/2017,1003.74,2876508,1002.54,1004.62,998.02
6/22/2017,1001.3,2249784,1002.23,1006.9599,997.2
6/21/2017,1002.23,2916743,998.7,1002.72,992.6518
6/20/2017,992.59,4069195,998,1004.88,992.02
6/19/2017,995.17,5019791,1017,1017,989.9
6/16/2017,987.71,11439080,996,999.75,982
6/15/2017,964.17,5230302,958.7,965.73,950.86
6/14/2017,976.47,3965444,988.59,990.34,966.71
6/13/2017,980.79,4569183,977.99,984.5,966.1
6/12/2017,964.91,9437061,967,975.95,945
6/9/2017,978.31,7634038,1012.5,1012.99,927
6/8/2017,1010.27,2756796,1012.06,1013.61,1006.11
6/7/2017,1010.07,2818880,1005.95,1010.249,1002
6/6/2017,1003,3341855,1012,1016.5,1001.25
6/5/2017,1011.34,2717283,1007.23,1013.21,1003.51
6/2/2017,1006.73,3749489,998.99,1008.48,995.67
6/1/2017,995.95,2451407,998.59,998.99,991.37
5/31/2017,994.62,3913721,1000,1000.12,982.16
5/30/2017,996.7,3256230,996.51,1001.2,995.52
5/26/2017,995.78,3462132,995,998.65,989.2491
5/25/2017,993.38,4817312,984.85,999,982.11
5/24/2017,980.35,2455977,976,981,970.23
5/23/2017,971.54,2412406,975.02,975.2,966.85
5/22/2017,970.67,2631854,964,971.38,962.9
5/19/2017,959.84,3967552,962.84,968.92,959.72
5/18/2017,958.49,3898729,944.8,962.75,944.76
5/17/2017,944.76,5129887,954.7,960.3957,944.12
5/16/2017,966.07,3114640,961,970.06,960.91
5/15/2017,957.97,4261618,958.73,963.15,956.055
5/12/2017,961.35,3622639,954.5,962.79,951.53
5/11/2017,947.62,2190678,945.11,950.29,940.775
5/10/2017,948.95,2093334,953.5,953.7499,945
5/9/2017,952.82,3256357,952.8,957.89,950.2
5/8/2017,949.04,3406954,940.95,949.05,939.21
5/5/2017,934.15,2863978,940.52,940.79,930.3
5/4/2017,937.53,2413486,944.75,945,934.215
5/3/2017,941.03,3578108,946,946,935.9
5/2/2017,946.94,3814589,946.645,950.1,941.413
5/1/2017,948.23,5459454,927.8,954.4,927.8
4/28/2017,924.99,7354916,948.83,949.59,924.3335
4/27/2017,918.38,5195293,914.39,921.86,912.11
4/26/2017,909.29,2603720,910.3,915.749,907.56
4/25/2017,907.62,3375239,907.04,909.48,903
4/24/2017,907.41,3118154,908.68,909.99,903.82
4/21/2017,898.53,2408664,902.67,903.65,896.77
4/20/2017,902.06,2808837,899.7,905.32,896.29
4/19/2017,899.2,2865603,907.84,910.5,897.369
4/18/2017,903.78,2996639,900.99,909.61,900.78
4/17/2017,901.99,2849145,887.5,902.38,887.5
4/13/2017,884.67,3169025,891.45,894.97,884.49
4/12/2017,896.23,2451575,903.09,904.09,895.2501
4/11/2017,902.36,3008307,907.04,911.24,897.5
4/10/2017,907.04,3180999,899.63,908.51,899
4/7/2017,894.88,3708367,899.65,900.09,889.31
4/6/2017,898.28,6338183,913.8,917.1899,894.4927
4/5/2017,909.28,7497229,910.82,923.72,905.62
4/4/2017,906.83,4976736,891.5,908.5384,890.28
4/3/2017,891.51,3418998,888,893.49,885.42
3/31/2017,886.54,3949283,877,890.35,876.65
3/30/2017,876.34,2758154,874.95,877.06,871.66
3/29/2017,874.32,4479102,859.05,876.438,859.02
3/28/2017,856,3037117,851.75,858.46,850.1
3/27/2017,846.82,2754903,838.07,850.3,833.5
3/24/2017,845.61,2135812,851.68,851.8,843.53
3/23/2017,847.38,1947627,848.2,850.89,844.8
3/22/2017,848.06,2652225,840.43,849.37,839.05
3/21/2017,843.2,4376927,858.84,862.795,841.31
3/20/2017,856.97,2261699,851.51,857.8,851.01
3/17/2017,852.31,3383423,853.49,853.83,850.64
3/16/2017,853.42,1841507,855.3,855.5,850.51
3/15/2017,852.97,2559702,854.33,854.45,847.11
3/14/2017,852.53,2129358,853.55,853.75,847.55
3/13/2017,854.59,1906941,851.77,855.69,851.71
3/10/2017,852.46,2434254,857,857.35,851.72
3/9/2017,853,2043932,851,856.3999,850.31
3/8/2017,850.5,2286974,848,853.07,846.79
3/7/2017,846.02,2246216,845.48,848.46,843.75
